code,theme,name,price,rating,pieces,vip_points,URL,scraped_on
41723,Friends,Donut Shop,9.99,4.6,63.0,65,https://www.lego.com/en-us/product/donut-shop-41723,2023-04-23
41724,Friends,Paisley's House,39.99,4.7,185.0,260,https://www.lego.com/en-us/product/paisleys-house-41724,2023-04-23
41726,Friends,Holiday Camping Trip,19.99,4.8,87.0,130,https://www.lego.com/en-us/product/holiday-camping-trip-41726,2023-04-23
41727,Friends,Dog Rescue Center,59.99,4.9,617.0,390,https://www.lego.com/en-us/product/dog-rescue-center-41727,2023-04-23
41728,Friends,Heartlake Downtown Diner,29.99,4.9,346.0,195,https://www.lego.com/en-us/product/heartlake-downtown-diner-41728,2023-04-23
41729,Friends,Organic Grocery Store,89.99,,830.0,585,https://www.lego.com/en-us/product/organic-grocery-store-41729,2023-04-23
41730,Friends,Autumn's House,69.99,,853.0,455,https://www.lego.com/en-us/product/autumns-house-41730,2023-04-23
41731,Friends,Heartlake International School,99.99,4.9,985.0,650,https://www.lego.com/en-us/product/heartlake-international-school-41731,2023-04-23
41732,Friends,Downtown Flower and Design Stores,159.99,4.9,2010.0,1040,https://www.lego.com/en-us/product/downtown-flower-and-design-stores-41732,2023-04-23
41733,Friends,Mobile Bubble Tea Shop,9.99,4.5,109.0,65,https://www.lego.com/en-us/product/mobile-bubble-tea-shop-41733,2023-04-23
41735,Friends,Mobile Tiny House,64.99,,785.0,422,https://www.lego.com/en-us/product/mobile-tiny-house-41735,2023-04-23
41738,Friends,Dog Rescue Bike,9.99,,125.0,65,https://www.lego.com/en-us/product/dog-rescue-bike-41738,2023-04-23
41739,Friends,Liann's Room,19.99,4.8,204.0,130,https://www.lego.com/en-us/product/lianns-room-41739,2023-04-23
41740,Friends,Aliya's Room,19.99,4.9,209.0,130,https://www.lego.com/en-us/product/aliyas-room-41740,2023-04-23
41741,Friends,Dog Rescue Van,29.99,4.9,300.0,195,https://www.lego.com/en-us/product/dog-rescue-van-41741,2023-04-23
41742,Friends,Cat Hotel,29.99,,445.0,195,https://www.lego.com/en-us/product/cat-hotel-41742,2023-04-23
41743,Friends,Hair Salon,39.99,4.8,401.0,260,https://www.lego.com/en-us/product/hair-salon-41743,2023-04-23
41751,Friends,Skate Park,49.99,4.9,431.0,325,https://www.lego.com/en-us/product/skate-park-41751,2023-04-23
41754,Friends,Leo's Room,19.99,4.8,203.0,130,https://www.lego.com/en-us/product/leos-room-41754,2023-04-23
41755,Friends,Nova's Room,19.99,4.8,179.0,130,https://www.lego.com/en-us/product/novas-room-41755,2023-04-23
41801,DOTS,My Pets Bracelet,5.99,,37.0,39,https://www.lego.com/en-us/product/my-pets-bracelet-41801,2023-04-23
